horsepower,weight,model_year,origin,mpg
200,4376,70,1,10
150,4699,74,1,13
165,4274,72,1,13
170,4746,71,1,13
150,4096,71,1,14
72,3432,75,1,15
150,3892,72,1,15
145,4082,73,1,15
165,3693,70,1,15
130,4295,77,1,15
142,4054,79,1,15.5
190,4325,77,1,15.5
150,3433,70,1,16
110,3907,75,1,17
110,3520,77,1,17.5
150,3436,70,1,18
95,3785,75,1,18
78,3574,76,1,18
135,3830,79,1,18.2
110,3645,76,1,18.5
100,3282,71,1,19
100,2901,74,1,19
90,2408,72,1,20
85,3070,78,1,20.8
86,2226,72,1,21
105,2745,78,1,23.2
85,2855,78,1,23.8
96,2300,77,1,25.5
89,2755,77,1,25.5
70,1955,71,1,26
84,2635,81,1,26.6
90,2735,82,1,27
84,2490,81,1,27.2
105,2800,80,1,27.9
88,2605,82,1,28
75,2125,74,1,28
90,2678,80,1,28
90,2264,71,1,28
79,2625,82,1,28
68,2155,78,1,30
84,2385,81,1,30
63,2051,77,1,30.5
75,2230,78,1,30.9
85,2575,82,1,31
70,2125,82,1,36
85,3015,82,1,38
86,2464,76,2,28
90,2123,71,2,28
133,3410,78,2,16.2
91,2582,73,2,20
87,2979,72,2,21
76,2511,72,2,22
46,1835,70,2,26
60,1834,71,2,27
78,1940,77,2,29
71,1825,76,2,29.5
71,1925,79,2,31.9
74,2190,81,2,33
67,2950,80,2,36.4
76,2144,80,2,41.5
88,2130,70,3,27
88,2100,72,3,27
88,2130,71,3,27
97,2300,78,3,27.2
95,2560,78,3,27.5
75,2155,76,3,28
92,2288,72,3,28
