@RELATION auto-mpg
@ATTRIBUTE horsepower Numeric
@ATTRIBUTE weight Numeric
@ATTRIBUTE model_year Numeric
@ATTRIBUTE origin Numeric
@ATTRIBUTE mpg Numeric
@DATA
200.0,4376.0,70.0,1.0,10.0
150.0,4699.0,74.0,1.0,13.0
165.0,4274.0,72.0,1.0,13.0
170.0,4746.0,71.0,1.0,13.0
150.0,4096.0,71.0,1.0,14.0
72.0,3432.0,75.0,1.0,15.0
150.0,3892.0,72.0,1.0,15.0
145.0,4082.0,73.0,1.0,15.0
165.0,3693.0,70.0,1.0,15.0
130.0,4295.0,77.0,1.0,15.0
142.0,4054.0,79.0,1.0,15.5
190.0,4325.0,77.0,1.0,15.5
150.0,3433.0,70.0,1.0,16.0
110.0,3907.0,75.0,1.0,17.0
110.0,3520.0,77.0,1.0,17.5
150.0,3436.0,70.0,1.0,18.0
95.0,3785.0,75.0,1.0,18.0
78.0,3574.0,76.0,1.0,18.0
135.0,3830.0,79.0,1.0,18.2
110.0,3645.0,76.0,1.0,18.5
100.0,3282.0,71.0,1.0,19.0
100.0,2901.0,74.0,1.0,19.0
90.0,2408.0,72.0,1.0,20.0
85.0,3070.0,78.0,1.0,20.8
86.0,2226.0,72.0,1.0,21.0
105.0,2745.0,78.0,1.0,23.2
85.0,2855.0,78.0,1.0,23.8
96.0,2300.0,77.0,1.0,25.5
89.0,2755.0,77.0,1.0,25.5
70.0,1955.0,71.0,1.0,26.0
84.0,2635.0,81.0,1.0,26.6
90.0,2735.0,82.0,1.0,27.0
84.0,2490.0,81.0,1.0,27.2
105.0,2800.0,80.0,1.0,27.9
88.0,2605.0,82.0,1.0,28.0
75.0,2125.0,74.0,1.0,28.0
90.0,2678.0,80.0,1.0,28.0
90.0,2264.0,71.0,1.0,28.0
79.0,2625.0,82.0,1.0,28.0
68.0,2155.0,78.0,1.0,30.0
84.0,2385.0,81.0,1.0,30.0
63.0,2051.0,77.0,1.0,30.5
75.0,2230.0,78.0,1.0,30.9
85.0,2575.0,82.0,1.0,31.0
70.0,2125.0,82.0,1.0,36.0
85.0,3015.0,82.0,1.0,38.0
86.0,2464.0,76.0,2.0,28.0
90.0,2123.0,71.0,2.0,28.0
133.0,3410.0,78.0,2.0,16.2
91.0,2582.0,73.0,2.0,20.0
87.0,2979.0,72.0,2.0,21.0
76.0,2511.0,72.0,2.0,22.0
46.0,1835.0,70.0,2.0,26.0
60.0,1834.0,71.0,2.0,27.0
78.0,1940.0,77.0,2.0,29.0
71.0,1825.0,76.0,2.0,29.5
71.0,1925.0,79.0,2.0,31.9
74.0,2190.0,81.0,2.0,33.0
67.0,2950.0,80.0,2.0,36.4
76.0,2144.0,80.0,2.0,41.5
88.0,2130.0,70.0,3.0,27.0
88.0,2100.0,72.0,3.0,27.0
88.0,2130.0,71.0,3.0,27.0
97.0,2300.0,78.0,3.0,27.2
95.0,2560.0,78.0,3.0,27.5
75.0,2155.0,76.0,3.0,28.0
92.0,2288.0,72.0,3.0,28.0
